idSchool,SchoolName,Grade,ProgramCode,Rank,Tiebreakers,Requests,Assigned Here,Assigned Better,Assigned Worse
441,Access SFUSD: Bay Street,13,BA,1,-,1,0,0,1
441,Access SFUSD: Bay Street,13,BA,2,-,1,0,0,1
441,Access SFUSD: Bay Street,13,BA,3,-,1,1,0,0
441,Access SFUSD: Bay Street,13,BA,4,-,1,0,1,0
441,Access SFUSD: Bay Street,13,BA,5,-,1,0,1,0
441,Access SFUSD: Bay Street,13,BA,10,-,1,0,1,0
441,Access SFUSD: Bay Street,13,CA,1,-,1.5,1.5,0,0
441,Access SFUSD: Bay Street,13,CA,2,-,5,3,1.5,0.5
441,Access SFUSD: Bay Street,13,CA,4,-,2,1,1,0
441,Access SFUSD: Bay Street,13,CA,5,-,2,0,2,0
441,Access SFUSD: Bay Street,13,CA,2,CT1;,1,0,1,0
441,Access SFUSD: Bay Street,13,CA,3,CT1;,2,0,2,0
441,Access SFUSD: Bay Street,13,CA,4,CT1;,1,0,1,0
441,Access SFUSD: Bay Street,13,CA,5,CT1;,1,0,1,0
442,Access SFUSD: The Arc,13,CA,1,-,4,1.5,0,2.5
442,Access SFUSD: The Arc,13,CA,2,-,1.5,0,1,0.5
442,Access SFUSD: The Arc,13,CA,3,-,3,0,1.5,1.5
442,Access SFUSD: The Arc,13,CA,4,-,1,0.5,0.5,0
442,Access SFUSD: The Arc,13,CA,1,CT1;,2,1,0,1
442,Access SFUSD: The Arc,13,CA,3,CT1;,1,0,1,0
413,Alamo ES,TK,GE,1,-,14.5,0.5,0,14
413,Alamo ES,TK,GE,2,-,28.5,0,14,14.5
413,Alamo ES,TK,GE,3,-,27,0.5,15.5,11
413,Alamo ES,TK,GE,4,-,25,0,14.5,10.5
413,Alamo ES,TK,GE,5,-,23,1,15.5,6.5
413,Alamo ES,TK,GE,6,-,10,0,4,6
413,Alamo ES,TK,GE,7,-,5.5,0,2.5,3
413,Alamo ES,TK,GE,8,-,8,0,3.5,4.5
413,Alamo ES,TK,GE,9,-,6,0,3,3
413,Alamo ES,TK,GE,10,-,3.5,0,2.5,1
413,Alamo ES,TK,GE,11,-,6,0,3,3
413,Alamo ES,TK,GE,12,-,1.5,0,1,0.5
413,Alamo ES,TK,GE,13,-,3,0,0.5,2.5
413,Alamo ES,TK,GE,14,-,2.5,0.5,1,1
413,Alamo ES,TK,GE,15,-,1.5,0,1.5,0
413,Alamo ES,TK,GE,16,-,1,0,1,0
413,Alamo ES,TK,GE,17,-,2.5,0,1.5,1
413,Alamo ES,TK,GE,18,-,2.5,0,1,1.5
413,Alamo ES,TK,GE,19,-,1,0,1,0
413,Alamo ES,TK,GE,20,-,1,0,1,0
413,Alamo ES,TK,GE,23,-,1,0,1,0
413,Alamo ES,TK,GE,25,-,1,0,1,0
413,Alamo ES,TK,GE,27,-,1,0,1,0
413,Alamo ES,TK,GE,28,-,1,0,1,0
413,Alamo ES,TK,GE,36,-,1,0,1,0
413,Alamo ES,TK,GE,41,-,1,0,1,0
413,Alamo ES,TK,GE,1,AA;,14,9,0,5
413,Alamo ES,TK,GE,2,AA;,4.5,1.5,0,3
413,Alamo ES,TK,GE,3,AA;,4.5,0.5,2,2
413,Alamo ES,TK,GE,4,AA;,1.5,0.5,0.5,0.5
413,Alamo ES,TK,GE,5,AA;,1,0,1,0
413,Alamo ES,TK,GE,1,CT1;,2,2,0,0
413,Alamo ES,TK,GE,3,CT1;,2,0,2,0
413,Alamo ES,TK,GE,4,CT1;,2,0,2,0
413,Alamo ES,TK,GE,5,CT1;,1.5,0,1.5,0
