"record_type","cds_code","district","school","status","open_date","charter_yesno","educational_program_type","entity_type","low_grade","high_grade","public_yesno","website","latitude","longitude","street_address","street_city","street_state","street_zip","phone","point","analysis_neighborhood","supervisor_district","data_as_of","data_loaded_at"
"School","38,684,780,119,958","San Francisco Unified","Academy (The)- SF @McAteer","Active","2009/08/24 12:00:00 AM","false","Alternative School of Choice","Alternative Schools of Choice","9","12","true","www.sotacad.org/","37.745874","-122.449984","555 Portola Dr.","San Francisco","CA","94131-1616","(415) 695-5700","POINT (-122.449984 37.745874)","Glen Park","8","2026/02/03 02:02:06 PM","2026/02/06 02:16:51 PM"
"School","38,684,786,930,572","San Francisco Unified","Adda Clevenger School","Active","1980/07/01 12:00:00 AM","false","No Data","Elementary School (Private)","K","8","false","www.addaclevenger.org","37.753680","-122.424159","180 Fair Oaks St.","San Francisco","CA","94110-2927","(415) 824-2240","POINT (-122.424159 37.75368)","Mission","8","2026/02/03 02:02:06 PM","2026/02/06 02:16:51 PM"
"School","38,684,786,040,695","San Francisco Unified","Alamo Elementary","Active","1980/07/01 12:00:00 AM","false","Traditional","Elementary Schools (Public)","K","5","true","No Data","37.783124","-122.482191","250 23rd Ave.","San Francisco","CA","94121-2009","(415) 750-8456","POINT (-122.482191 37.783124)","Outer Richmond","1","2026/02/03 02:02:06 PM","2026/02/06 02:16:51 PM"
"School","38,684,786,168,959","San Francisco Unified","Aloha Micro Academy","Active","2023/12/04 12:00:00 AM","false","No Data","K-12 Schools (Private)","K","12","false","www.alohamicroacademy.org","37.787767","-122.406120","166 Geary Str Ste 1500 #1532","San Francisco","CA","94108-5628","(719) 877-3592","POINT (-122.40612 37.787767)","Financial District/South Beach","3","2026/02/03 02:02:06 PM","2026/02/06 02:16:51 PM"
"School","38,684,786,172,357","San Francisco Unified","Alpha School San Francisco","Active","2025/08/25 12:00:00 AM","false","No Data","Elementary School (Private)","K","8","false","https://alpha.school/san-francisco/","37.804570","-122.433941","3741 Buchanan St","San Francisco","CA","94123-1710","(512) 595-0801","POINT (-122.433941 37.80457)","Marina","2","2026/02/03 02:02:06 PM","2026/02/06 02:16:51 PM"
"School","38,684,786,140,099","San Francisco Unified","Alta Vista School","Active","2011/03/21 12:00:00 AM","false","No Data","Elementary School (Private)","K","8","false","www.altavistaschool.org","37.725947","-122.407310","450 Somerset St.","San Francisco","CA","94134-1724","(415) 467-3700","POINT (-122.40731 37.725947)","Portola","9","2026/02/03 02:02:06 PM","2026/02/06 02:16:51 PM"
"School","38,684,786,040,703","San Francisco Unified","Alvarado Elementary","Active","1980/07/01 12:00:00 AM","false","Traditional","Elementary Schools (Public)","K","5","true","No Data","37.753675","-122.438734","625 Douglas St.","San Francisco","CA","94114-3140","(415) 695-5695","POINT (-122.438734 37.753675)","Noe Valley","8","2026/02/03 02:02:06 PM","2026/02/06 02:16:51 PM"
"School","38,684,786,062,020","San Francisco Unified","Aptos Middle","Active","1980/07/01 12:00:00 AM","false","Traditional","Intermediate/Middle Schools (Public)","6","8","true","No Data","37.730234","-122.466233","105 Aptos Ave.","San Francisco","CA","94127-2520","(415) 469-4520","POINT (-122.466233 37.730234)","West of Twin Peaks","7","2026/02/03 02:02:06 PM","2026/02/06 02:16:51 PM"
"School","38,684,786,939,730","San Francisco Unified","Archbishop Riordan High School","Active","1980/07/01 12:00:00 AM","false","No Data","High Schools (Private)","9","12","false","www.riordanhs.org","37.728235","-122.453418","175 Frida Kahlo Way","San Francisco","CA","94112-1822","(415) 586-8200","POINT (-122.453418 37.728235)","West of Twin Peaks","7","2026/02/03 02:02:06 PM","2026/02/06 02:16:51 PM"
"School","38,684,786,040,737","San Francisco Unified","Argonne Elementary","Active","1980/07/01 12:00:00 AM","false","Traditional","Elementary Schools (Public)","K","5","true","No Data","37.775150","-122.476799","680 18th Ave.","San Francisco","CA","94121-3818","(415) 750-8460","POINT (-122.476799 37.77515)","Outer Richmond","1","2026/02/03 02:02:06 PM","2026/02/06 02:16:51 PM"
"School","38,684,787,019,417","San Francisco Unified","Arise Educational Center","Active","1980/07/01 12:00:00 AM","false","Nonpublic Certified School","K-12 Schools (Private)","K","12","false","www.ariseeducationalcenter.com","37.750495","-122.394874","1760 Cesar Chavez St., Ste. Rs","San Francisco","CA","94124-1136","(415) 641-1878","POINT (-122.394874 37.750495)","Bayview Hunters Point","10","2026/02/03 02:02:06 PM","2026/02/06 02:16:51 PM"
"School","38,684,783,830,387","San Francisco Unified","Asawa (Ruth) SF Sch of the Arts, A Public School","Active","1992/09/01 12:00:00 AM","false","Alternative School of Choice","Alternative Schools of Choice","9","12","true","No Data","37.745874","-122.449984","555 Portola Dr.","San Francisco","CA","94131-1616","(415) 695-5700","POINT (-122.449984 37.745874)","Glen Park","8","2026/02/03 02:02:06 PM","2026/02/06 02:16:51 PM"
"School","38,684,786,206,007","San Francisco Unified","Bais Menacham Yeshiva Day School","Active","2005/05/24 12:00:00 AM","false","No Data","Elementary School (Private)","K","8","false","www.bmyds.org","37.773614","-122.487198","834 28th Ave.","San Francisco","CA","94121-3514","(415) 636-9770","POINT (-122.487198 37.773614)","Outer Richmond","1","2026/02/03 02:02:06 PM","2026/02/06 02:16:51 PM"
"School","38,684,783,830,288","San Francisco Unified","Balboa High","Active","1980/07/01 12:00:00 AM","false","Traditional","High Schools (Public)","9","12","true","No Data","37.722073","-122.439853","1000 Cayuga Ave.","San Francisco","CA","94112-3236","(415) 469-4090","POINT (-122.439853 37.722073)","Outer Mission","11","2026/02/03 02:02:06 PM","2026/02/06 02:16:51 PM"
"School","38,684,786,170,153","San Francisco Unified","Bertrand D Hsu American & Chinese Bicultural Academy","Active","2024/08/13 12:00:00 AM","false","No Data","Elementary School (Private)","K","8","false","www.berthsuacademy.org","37.760533","-122.398021","455 Arkansas St.","San Francisco","CA","94107-2813","(415) 688-7827","POINT (-122.398021 37.760533)","Potrero Hill","10","2026/02/03 02:02:06 PM","2026/02/06 02:16:51 PM"
"School","38,684,786,169,445","San Francisco Unified","Bloomington Pre-University Education","Active","2024/03/19 12:00:00 AM","false","No Data","High Schools (Private)","K","12","false","http://www.bu.edu.cw","37.787767","-122.406120","166 Geary Str Ste 1500","San Francisco","CA","94108-5628","(412) 742-5762","POINT (-122.40612 37.787767)","Financial District/South Beach","3","2026/02/03 02:02:06 PM","2026/02/06 02:16:51 PM"
