,,,,,,,ALL APPLICANTS,,,,,SIBLING APPLICANTS,,,,,"Elementary School Attendance Area APPLICANTS
Only relevant for elementary school grades (TK-5)",,,,,"Middle School Feeder APPLICANTS
Only relevant for 6th grade applicants",,,,,CTIP1 APPLICANTS (LOW TEST SCORE AREA TIEBREAKER),,,,,APPLICANTS WITH NO TIEBREAKERS,,,,
New pathways,Concatenate,idSchool,SchoolName,Grade,Pathway,Program Name,Requests,Assigned students,% assigned,# assigned to this or higher-ranked choice,% success,Requests with Sibling tiebreaker,Assigned with Sibling tiebreaker,Sib % assigned,Sib # assigned to this or higher-ranked choice,Sib % success,Requests with ESAA tiebreaker,Assigned with ESAA tiebreaker,ESAA % assigned,ESAA # assigned to this or higher-ranked choice,ESAA % success,Requests with MSF tiebreaker,Assigned with MSF tiebreaker,MSF % assigned,MSF # assigned to this or higher-ranked choice,MSF % success,CTIP1 Applicants,CTIP1 # assigned,CTIP1 % assigned,CTIP1 # assigned to this or higher-ranked choice,CTIP1 % success,Requests with no tiebreaker,Assigned with no tiebreaker,No tiebreaker % assigned,No tiebreaker # assigned to this or higher-ranked choice,No tiebreaker % success
,Access SFUSD: Bay Street13BA,441,Access SFUSD: Bay Street,13,BA,SDC - Transition Program (CAT),3,0,9%,2,73%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,3,0,9%,2,73%
,Access SFUSD: Bay Street13CA,441,Access SFUSD: Bay Street,13,CA,SDC - Transition Program (CAT),12,5,43%,10,89%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,2,0,13%,2,100%,10,5,50%,8,87%
,Access SFUSD: The Arc13CA,442,Access SFUSD: The Arc,13,CA,SDC - Transition Program (CAT),16,4,27%,12,72%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,3,1,31%,3,85%,13,3,25%,9,69%
Opened in 25-26,Alamo ESTKGE,413,Alamo ES,TK,GE,General Education,226,32,14%,132,58%,18,17,94%,18,100%,36,22,60%,26,71%,0,0,-,0,-,7,1,14%,7,100%,177,3,1%,93,52%
,Alamo ESKGE,413,Alamo ES,K,GE,General Education,415,65,16%,345,83%,15,14,98%,15,100%,67,54,81%,65,97%,0,0,-,0,-,12,1,4%,12,100%,331,5,2%,263,79%
,Alamo ES1GE,413,Alamo ES,1,GE,General Education,14,4,29%,12,86%,0,0,-,0,-,2,1,43%,1,71%,0,0,-,0,-,0,0,0%,0,100%,12,3,27%,11,88%
,Alamo ES2GE,413,Alamo ES,2,GE,General Education,11,3,29%,8,67%,0,0,0%,0,0%,3,1,40%,1,50%,0,0,-,0,-,1,1,50%,1,75%,8,2,23%,6,71%
,Alamo ES3GE,413,Alamo ES,3,GE,General Education,16,4,24%,9,56%,0,0,-,0,-,4,2,50%,3,69%,0,0,-,0,-,1,0,33%,1,100%,11,2,14%,5,48%
,Alamo ES4GE,413,Alamo ES,4,GE,General Education,12,2,15%,7,62%,0,0,-,0,-,2,1,33%,1,50%,0,0,-,0,-,1,0,0%,1,100%,9,1,14%,6,59%
,Alamo ES5GE,413,Alamo ES,5,GE,General Education,8,1,10%,4,50%,0,0,-,0,-,1,0,0%,1,50%,0,0,-,0,-,1,0,50%,0,50%,6,1,8%,3,50%
Opened in 24-25,Alamo ESTKSA,413,Alamo ES,TK,SA,SDC - Extensive Support w Autism Focus,6,2,35%,5,82%,0,0,100%,0,100%,0,0,-,0,-,0,0,-,0,-,3,1,33%,3,89%,3,1,38%,2,75%
,Alamo ESKSA,413,Alamo ES,K,SA,SDC - Extensive Support w Autism Focus,7,2,22%,6,89%,0,0,-,0,-,0,0,100%,0,100%,0,0,-,0,-,2,1,43%,2,86%,5,1,11%,4,89%
,Alamo ES1SA,413,Alamo ES,1,SA,SDC - Extensive Support w Autism Focus,1,0,33%,1,67%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,1,0,33%,1,67%
,Alamo ES2SA,413,Alamo ES,2,SA,SDC - Extensive Support w Autism Focus,1,0,33%,0,33%,0,0,-,0,-,0,0,0%,0,0%,0,0,-,0,-,0,0,-,0,-,1,0,50%,0,50%
,Alamo ES3SA,413,Alamo ES,3,SA,SDC - Extensive Support w Autism Focus,0,0,100%,0,100%,0,0,100%,0,100%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-
,Alamo ES4SA,413,Alamo ES,4,SA,SDC - Extensive Support w Autism Focus,0,0,0%,0,100%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,0%,0,100%
,Alamo ES5SA,413,Alamo ES,5,SA,SDC - Extensive Support w Autism Focus,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-
,Alvarado ESTKGE,420,Alvarado ES,TK,GE,General Education,365,19,5%,172,47%,21,16,76%,20,96%,46,6,13%,13,28%,0,0,-,0,-,55,8,15%,47,86%,256,0,0%,105,41%
,Alvarado ESKGE,420,Alvarado ES,K,GE,General Education,397,41,10%,302,76%,22,8,36%,22,100%,68,26,38%,46,67%,0,0,-,0,-,49,11,22%,49,100%,272,1,0%,199,73%
,Alvarado ES1GE,420,Alvarado ES,1,GE,General Education,31,8,25%,19,60%,0,0,100%,0,100%,6,3,44%,4,56%,0,0,-,0,-,3,1,42%,3,83%,22,4,17%,13,59%
,Alvarado ES2GE,420,Alvarado ES,2,GE,General Education,20,5,23%,11,56%,0,0,-,0,-,5,3,56%,4,78%,0,0,-,0,-,1,0,25%,1,100%,15,2,12%,7,47%
,Alvarado ES3GE,420,Alvarado ES,3,GE,General Education,17,3,15%,12,69%,0,0,100%,0,100%,1,0,20%,1,60%,0,0,-,0,-,3,0,10%,2,80%,13,2,13%,9,67%
,Alvarado ES4GE,420,Alvarado ES,4,GE,General Education,13,3,19%,11,85%,0,0,-,0,-,2,1,33%,1,83%,0,0,-,0,-,2,0,0%,1,83%,10,2,20%,9,85%
,Alvarado ES5GE,420,Alvarado ES,5,GE,General Education,9,2,26%,7,74%,0,0,100%,0,100%,1,1,50%,1,75%,0,0,-,0,-,1,0,0%,1,100%,7,2,21%,5,71%
,Alvarado ESKMS,420,Alvarado ES,K,MS,SDC - Extensive Support,6,2,32%,5,82%,0,0,-,0,-,0,0,100%,0,100%,0,0,-,0,-,2,1,57%,2,100%,4,1,14%,3,71%
,Alvarado ES1MS,420,Alvarado ES,1,MS,SDC - Extensive Support,1,1,100%,1,100%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,1,1,100%,1,100%,0,0,-,0,-
,Alvarado ES2MS,420,Alvarado ES,2,MS,SDC - Extensive Support,0,0,0%,0,0%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,0%,0,0%
,Alvarado ES3MS,420,Alvarado ES,3,MS,SDC - Extensive Support,1,0,0%,1,100%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,0%,0,100%,0,0,0%,0,100%
,Alvarado ES4MS,420,Alvarado ES,4,MS,SDC - Extensive Support,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-
,Alvarado ES5MS,420,Alvarado ES,5,MS,SDC - Extensive Support,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-
,Alvarado ESKSE,420,Alvarado ES,K,SE,Spanish Immersion (Non-Native),296,18,6%,186,63%,16,11,68%,14,89%,0,0,-,0,-,0,0,-,0,-,41,5,12%,32,78%,234,0,0%,135,58%
,Alvarado ES1SE,420,Alvarado ES,1,SE,Spanish Immersion (Non-Native),21,0,1%,6,26%,1,0,0%,0,0%,0,0,-,0,-,0,0,-,0,-,2,0,0%,1,43%,17,0,0%,5,26%
,Alvarado ESKSN,420,Alvarado ES,K,SN,Spanish Immersion (Spanish Speakers),108,26,24%,80,74%,11,10,95%,11,100%,0,0,-,0,-,0,0,-,0,-,25,11,43%,24,98%,68,3,5%,40,59%
,Alvarado ES1SN,420,Alvarado ES,1,SN,Spanish Immersion (Spanish Speakers),8,0,3%,1,17%,0,0,0%,0,0%,0,0,-,0,-,0,0,-,0,-,2,0,17%,1,50%,4,0,0%,0,7%
,Alvarado ES2SN,420,Alvarado ES,2,SN,Spanish Immersion (Spanish Speakers),4,0,6%,1,29%,0,0,0%,0,0%,0,0,-,0,-,0,0,-,0,-,1,0,0%,1,50%,2,0,17%,0,17%
,Alvarado ES3SN,420,Alvarado ES,3,SN,Spanish Immersion (Spanish Speakers),7,1,7%,4,52%,1,0,0%,0,0%,0,0,-,0,-,0,0,-,0,-,3,1,18%,2,55%,2,0,0%,1,38%
,Alvarado ES4SN,420,Alvarado ES,4,SN,Spanish Immersion (Spanish Speakers),3,0,0%,1,36%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,1,0,0%,0,50%,1,0,0%,0,25%
,Alvarado ES5SN,420,Alvarado ES,5,SN,Spanish Immersion (Spanish Speakers),2,0,17%,1,67%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,1,0,0%,1,100%,1,0,50%,0,50%
,Aptos MS6GE,431,Aptos MS,6,GE,General Education,1025,288,28%,888,87%,34,30,89%,34,100%,0,0,-,0,-,187,147,79%,187,100%,139,47,34%,139,100%,701,91,13%,564,80%
